Organization/Person Name,Number of Investments,Number of Exits
Signals Venture Capital,34,3
NordicNinja VC,34,
BM H Beteiligungs-Managementgesellschaft Hessen,34,
Open Circle Capital,34,4
Angel Capital Management,34,3
Juno Capital Partners,34,2
Seed Fonds Aachen,34,7
Inventure Partners,34,6
EnBW New Ventures,34,4
Citius,34,3
ACT Venture Partners,34,3
Fondazione Social Venture Giordano dell'Amore,34,
Galileo Partners,34,12
ICONIUM,33,1
imec.xpand,33,
Middlegame Ventures,33,6
Wille Finance,33,3
Sambrinvest,33,2
PT1,33,
Laser Digital,33,
Russian Direct Investment Fund,33,4
Ahren Innovation Capital,33,6
Flash Ventures,33,2
PeakBridge,33,1
Semantic Ventures,33,
Uni.Fund,33,
Cemex Ventures,33,3
Lemonade Stand,33,
DEPO Ventures,33,2
Movens Capital,33,
Id4 ventures,33,3
Alfvén & Didrikson,33,6
Think.Health,33,3
Digital Future,33,6
Pleiade Venture,33,8
LT Capital,33,1
Elevation Capital Partners,33,1
3B Future Health Fund,33,5
Crista Galli Ventures,33,1
Petit Poucet,33,3
GM&C Life Sciences Fund,33,
Loric Ventures,33,4
Nordstar,32,1
FIRSTPICK,32,
British Patient Capital,32,1
Conviction VC,32,6
Supernode Global,32,2
Lunar Ventures,32,
GoHub Ventures,32,
kopa ventures,32,2
BonVenture,32,2
Sturgeon Capital,32,1
Inovexus,32,
Nexit Ventures,32,14
Panakes Partners,32,
SINTEF Venture AS,32,4
ICOS Capital Management,32,1
Venista Ventures,32,6
northstar.vc,32,1
Nordic Eye Venture Capital,32,3
Venture Stars,32,5
Boundary Holding,32,4
Avala Capital,32,9
Virtual Network,32,10
CNI,32,5
ECONA AG,32,15
Aviva Ventures,32,4
Centripetal,32,4
Imperious Group VC,32,1
Gemma Frisius Fund,32,5
Reuters Venture Capital,32,22
Startupbootcamp Amsterdam,32,6
Nordic Venture Partners (Sweden),32,14
AFI Ventures,31,2
SNÖ Ventures,31,3
Arix Bioscience,31,11
Cibus Fund,31,3
PUSH VC,31,4
Seed X Liechtenstein,31,1
Fidelity International Strategic Ventures,31,4
Genesis Ventures,31,
HPE Growth,31,3
Raise Ventures,31,1
Eos Venture Partners,31,3
Future Shape,31,4
Silicon Gardens,31,1
Idekapital,31,1
Edenred Capital Partners,31,5
Inven Capital,31,3
123Venture,31,8
AP Ventures,31,
ICU Ventures,31,3
Unfold.vc,31,2
Astutia Ventures,31,11
Node Kapital,31,
Insitor Partners,31,1
Material V,31,4
German Media Pool,31,7
Sirius Venture Partners,31,8
Edition Capital,31,1
Aravis Ventures,31,13
Roca X,31,1
Aurinvest,31,10
Clave Mayor,31,2
Droia Ventures,31,2
Alto Invest,31,11
Global Life Science Ventures,31,13
Alliance Entreprendre,31,8
Atlantic Bridge University Fund,31,2
NCI Gestion,31,2
Quest for Growth,31,14
Redcliffe Capital,31,4
VK (ex. Mail.Ru Group),30,9
Lloyds Banking Group,30,4
Five Seasons Ventures,30,2
AM Ventures,30,2
Eterna Capital,30,2
Alpha Intelligence Capital,30,3
Simpact Ventures,30,
Navus Ventures,30,2
Purple,30,
Yttrium,30,5
Wealth Club,30,2
Futury Capital,30,1
Iron Wolf Capital,30,
Super Capital VC,30,
Columbia Lake Partners,30,7
STS Ventures,30,4
Synergo Capital,30,10
Ilavska Vuillermoz Capital,30,2
Vala Capital,30,1
dRx Capital,30,3
NewAlpha Asset Management VC,30,5
Ithaca Investments,30,8
Holtzbrinck Digital,30,6
Sussex Place Ventures,30,9
Capagro,30,
Sistema_VC,30,6
Tribal.vc,30,4
Teknoinvest,30,10
SMH Venture Finance Limited,30,10
Amino Collective,30,1
Rhone-Alpes Creation,30,6
