Organization/Person Name,Number of Investments,Number of Exits,Region,Score
LvlUp Ventures,32,1.0,US,34.0
Cottonwood Technology Fund,67,4.0,US,75.0
Allos Ventures,106,13.0,US,132.0
K Street Capital,84,7.0,US,98.0
Valar Ventures,170,21.0,US,212.0
MissionOG,67,16.0,US,99.0
Creative Ventures,60,4.0,US,68.0
Sopris Capital Associates,50,19.0,US,88.0
Redbud VC,30,1.0,US,32.0
Surface Ventures,42,3.0,US,48.0
TCG Crossover,54,31.0,US,116.0
OUP (Osage University Partners),216,58.0,US,332.0
Fuel Capital,144,30.0,US,204.0
Grishin Robotics,42,11.0,US,64.0
Geek Ventures,43,1.0,US,45.0
DARPA,42,8.0,US,58.0
ClearSky,83,33.0,US,149.0
Propel,60,12.0,US,84.0
Revolution Growth,62,14.0,US,90.0
L'ATTITUDE Ventures,31,3.0,US,37.0
Greycroft,812,139.0,US,1090.0
Buckley Ventures,48,3.0,US,54.0
Digital Sandbox KC,30,2.0,US,34.0
Luxor Capital Group,44,9.0,US,62.0
NightDragon,30,4.0,US,38.0
Ascend,80,6.0,US,92.0
Eventide,48,24.0,US,96.0
Unshackled Ventures,78,5.0,US,88.0
Heritage Group,54,18.0,US,90.0
Markd,30,,US,
Windham Venture Partners,60,11.0,US,82.0
Bain Capital Life Sciences,91,48.0,US,187.0
